Altitude,CountryCode,EMAIL,HouseNumber,Latitude,Longitude,OFFICIAL,PHONE,PlaceId,StreetName,Text,TimeStamp,WEBADDRESS,find-places,places-cat,poi
,,,,,,,,784thrrd-ccb158afed0f46f6b1e895403b2bae84,,,,,,,
,,,,,,,,,,,2012-10-26T14:36:03.646Z,,,,
,,,,,,,,784thrre-dfa545713eb540cb9079f6b589efc8d4,,,,,,,
,,,,,,,,,,,2012-10-26T14:36:43.634Z,,,,
,,,,,,,,784thx2m-0f20ac6176b64dec89cf23111d660807,,,,,,,
,,,,,,,,,,,2012-10-26T14:37:27.298Z,,,,
,,,,,,,,784thrpp-ab8f18a1e93842c5856c31d5f062fb1d,,,,,,,
,,,,,,,,,,,2012-10-26T14:38:49.161Z,,,,
,USA,,,,,,,,,,,,,,
,CAN,,,,,,,,,,,,,,
,RUS,,,,,,,,,,,,,,
,ARE,,,,,,,,,,,,,,
,,,,,,,,,Francisco Villa,,,,,,
,,,,,,,,,4TA Av,,,,,,
,,,,,,,,,Chekhova,,,,,,
,,,,,,,,,Jumeirah Beach Road,,,,,,
,,,N/A,,,,,,,,,,,,
,,,N/A,,,,,,,,,,,,
,,,33,,,,,,,,,,,,
,,,,25.25418,55.30372,,,,,,,,,,
,,,,,,,,,,,,,,,
23,,,,25.25074,55.3327,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,25.38165,55.44901,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,25.171406,55.190807,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,+97143553788,,,,,,,,
,,,,,,,+97142951545,,,,,,,,
,,,,,,,+79167463861,,,,,,,,
,,,,,,,,,,,,http://www.magnit.ru,,,
,,,,,,,+97144068999,,,,,,,,
,,jbhboxoffice@jumeirah.com,,,,,,,,,,,,,
,,,,,,,,,,,,http://www.jumeirah.com,,,
,,,,,,Main Shop,,,,,,,,,
,,,,,,Pizza,,,,,,,,,
,,,,,,Magnit,,,,,,,,,
,,,,,,Uptown Bar,,,,,,,,,
,,,,,,,,,,,,,shop,,
,,,,,,,,,,,,,,,9567
,,,,,,,,,,Specialty Store,,,,,
,,,,,,,,,,,,,,600-6900-0096,
,,,,,,,,,,Specialty Store,,,,,
,,,,,,,,,,,,,shop,,
,,,,,,,,,,,,,,,9567
,,,,,,,,,,Specialty Store,,,,,
,,,,,,,,,,,,,,600-6900-0000,
,,,,,,,,,,Other Shop,,,,,
,,,,,,,,,,,,,food-drink,,
,,,,,,,,,,,,,,,5400
,,,,,,,,,,Grocery Store,,,,,
,,,,,,,,,,,,,,600-6300-0066,
,,,,,,,,,,Grocery,,,,,
,,,,,,,,,,,,,Restaurant,,
,,,,,,,,,,,,,,100-1000-0000,
,,,,,,,,,,Other Restaurant,,,,,
